"Title","Título"
"Description","Descrição"
"Sort Order","Posição"
"CNPJ","CNPJ"
"Method Name","Nome do Método"
"Weight Format","Formato do Peso"
"Regional Code","Filial de Coleta"
"City of Origin","Cidade de Origem"
"State of Origin","Estado de Origem"
"Type of Products","Segmento dos Produtos"
"Enable Debug","Habilitar Debug (log)"
"Show Errors in Frontend","Exibir erros no Frontend"
"URL Ws Production","URL Ws Produção"
"Type of Transport","Tipo de Transporte"
"Integration Type","Modalide de Integração"